"Commit SHA","Java File","Old function signature","New function signature"
"b1c4af40812f509a785ba8a6fd1006116ebd517c","spring-boot-project/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/JavaPluginAction.java","configureBootRunTask(Project, TaskProvider<ResolveMainClassName>)","configureBootRunTask(Project)"
"3bfe1b00b521c56619fe8274a3e6914ff99ed425","spring-boot-project/spring-boot-tools/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/CustomLayersProvider.java","getSelectors(Element, String, Function<String,ContentFilter<T>>)","getSelectors(Element, String, Function<Element,ContentSelector<T>>)"
"bebdee3709e901ac62f6071ff53a2f473f4a0a2f","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/jdbc/EmbeddedDatabaseConnectionTests.java","isEmbeddedWithDriverAndUrl(EmbeddedDatabaseConnection, String, boolean)","isEmbeddedWithDriverAndUrl(String, String, boolean)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java","addInitialImportContributors(List<ConfigDataEnvironmentContributor>, String[])","addInitialImportContributors(List<ConfigDataEnvironmentContributor>, ConfigDataLocation[])"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java","createConfigDataLocationResolvers(DeferredLogFactory, ConfigurableBootstrapContext, ConfigDataLocationNotFoundAction, Binder, ResourceLoader)","createConfigDataLocationResolvers(DeferredLogFactory, ConfigurableBootstrapContext, Binder, ResourceLoader)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java","createInitialImportContributor(String)","createInitialImportContributor(ConfigDataLocation)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java","ofInitialImport(String)","ofInitialImport(ConfigDataLocation)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java","ofUnboundImport(ConfigDataLocation, ConfigData, int)","ofUnboundImport(ConfigDataResource, ConfigData, int)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributors.java","asContributors(Map<ConfigDataLocation,ConfigData>)","asContributors(Map<ConfigDataResource,ConfigData>)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataImporter.java","load(ConfigDataLoaderContext, List<ConfigDataLocation>)","load(ConfigDataLoaderContext, List<ConfigDataResolutionResult>)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataImporter.java","resolveAndLoad(ConfigDataActivationContext, ConfigDataLocationResolverContext, ConfigDataLoaderContext, List<String>)","resolveAndLoad(ConfigDataActivationContext, ConfigDataLocationResolverContext, ConfigDataLoaderContext, List<ConfigDataLocation>)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLoader.java","load(ConfigDataLoaderContext, L)","load(ConfigDataLoaderContext, R)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLoader.java","isLoadable(ConfigDataLoaderContext, L)","isLoadable(ConfigDataLoaderContext, R)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLoaders.java","load(ConfigDataLoaderContext, boolean, L)","load(ConfigDataLoaderContext, R)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLoaders.java","getLoader(ConfigDataLoaderContext, L)","getLoader(ConfigDataLoaderContext, R)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLocationResolver.java","resolveProfileSpecific(ConfigDataLocationResolverContext, String, boolean, Profiles)","resolveProfileSpecific(ConfigDataLocationResolverContext, ConfigDataLocation, Profiles)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLocationResolver.java","resolve(ConfigDataLocationResolverContext, String, boolean)","resolve(ConfigDataLocationResolverContext, ConfigDataLocation)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLocationResolver.java","isResolvable(ConfigDataLocationResolverContext, String)","isResolvable(ConfigDataLocationResolverContext, ConfigDataLocation)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLocationResolvers.java","resolve(String, boolean, Supplier<List<? extends ConfigDataLocation>>)","resolve(ConfigDataLocation, Supplier<List<? extends ConfigDataResource>>)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigTreeConfigDataLoader.java","load(ConfigDataLoaderContext, ConfigTreeConfigDataLocation)","load(ConfigDataLoaderContext, ConfigTreeConfigDataResource)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigTreeConfigDataLocationResolver.java","resolve(ConfigDataLocationResolverContext, String, boolean)","resolve(ConfigDataLocationResolverContext, ConfigDataLocation)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigTreeConfigDataLocationResolver.java","isResolvable(ConfigDataLocationResolverContext, String)","isResolvable(ConfigDataLocationResolverContext, ConfigDataLocation)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/InactiveConfigDataAccessException.java","getMessage(PropertySource<?>, ConfigDataLocation, String, Origin)","getMessage(PropertySource<?>, ConfigDataResource, String, Origin)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/InvalidConfigDataPropertyException.java","getMessage(ConfigurationProperty, ConfigurationPropertyName, ConfigDataLocation)","getMessage(ConfigurationProperty, ConfigurationPropertyName, ConfigDataResource)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributorTests.java","createBoundContributor(ConfigDataLocation, ConfigData, int)","createBoundContributor(ConfigDataResource, ConfigData, int)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataLoaderTests.java","load(ConfigDataLoaderContext, TestConfigDataLocation)","load(ConfigDataLoaderContext, TestConfigDataResource)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataLoadersTests.java","load(ConfigDataLoaderContext, OtherConfigDataLocation)","load(ConfigDataLoaderContext, OtherConfigDataResource)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataLoadersTests.java","isLoadable(ConfigDataLoaderContext, ConfigDataLocation)","isLoadable(ConfigDataLoaderContext, ConfigDataResource)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataLoadersTests.java","createConfigData(ConfigDataLoader<?>, ConfigDataLocation)","createConfigData(ConfigDataLoader<?>, ConfigDataResource)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataLocationResolverTests.java","resolve(ConfigDataLocationResolverContext, String, boolean)","resolve(ConfigDataLocationResolverContext, ConfigDataLocation)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataLocationResolverTests.java","isResolvable(ConfigDataLocationResolverContext, String)","isResolvable(ConfigDataLocationResolverContext, ConfigDataLocation)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataLocationResolversTests.java","resolveProfileSpecific(ConfigDataLocationResolverContext, String, boolean, Profiles)","resolveProfileSpecific(ConfigDataLocationResolverContext, ConfigDataLocation, Profiles)"
"1cf9fc107e5ed29a44935688eaca2bf6fa85108b","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigDataLocationResolversTests.java","resolve(ConfigDataLocationResolverContext, String, boolean)","resolve(ConfigDataLocationResolverContext, ConfigDataLocation)"
