"Commit SHA","Java File","Old function signature","New function signature"
"8c94d05414f5dacc7d88072ecff02ff3dded3bf4","retrofit-mock/src/main/java/retrofit/mock/BehaviorCall.java","onResponse(Response<T>, Retrofit)","onResponse(Response<T>)"
"8c94d05414f5dacc7d88072ecff02ff3dded3bf4","retrofit-mock/src/main/java/retrofit/mock/Calls.java","response(Response<T>, Retrofit)","response(Response<T>)"
"8c94d05414f5dacc7d88072ecff02ff3dded3bf4","retrofit/src/main/java/retrofit/Callback.java","onResponse(Response<T>, Retrofit)","onResponse(Response<T>)"
"8c94d05414f5dacc7d88072ecff02ff3dded3bf4","retrofit/src/test/java/retrofit/CallTest.java","onResponse(Response<String>, Retrofit)","onResponse(Response<String>)"
"fed4420381efab4c328f2fb25939f9950353b781","retrofit-converters/wire/src/main/java/retrofit/WireConverterFactory.java","create(Wire)","create()"
"afef3c5604c1e8e3278f75f3fb000cdda65459a6","retrofit/src/main/java/retrofit/RequestFactoryParser.java","parse(Method, Retrofit)","parse(Method, Type, Retrofit)"
"cd44820cb18afe08951834a61a68eba75d329408","retrofit/src/main/java/retrofit/RequestFactoryParser.java","parse(Method, BaseUrl, List<Converter.Factory>)","parse(Method, Retrofit)"
"cd44820cb18afe08951834a61a68eba75d329408","retrofit/src/main/java/retrofit/RequestFactoryParser.java","parseParameters(List<Converter.Factory>)","parseParameters(Retrofit)"
"a8d1a318ab9a2f41614d3ffc693238ff46dafa73","retrofit/src/test/java/retrofit/RetrofitTest.java","parameter(RequestBody)","parameter(String)"
"6359791fdaeafa0523ea2bd7da29da4dbe6eb124","retrofit-adapters/rxjava/src/main/java/retrofit/RxJavaCallAdapterFactory.java","call(Response<T>)","call(Response<R>)"
"6359791fdaeafa0523ea2bd7da29da4dbe6eb124","retrofit-adapters/rxjava/src/main/java/retrofit/RxJavaCallAdapterFactory.java","adapt(Call<T>)","adapt(Call<R>)"
"6359791fdaeafa0523ea2bd7da29da4dbe6eb124","retrofit-adapters/rxjava/src/main/java/retrofit/SingleHelper.java","makeSingle(CallAdapter<Object>)","makeSingle(CallAdapter<Observable<?>>)"
"6359791fdaeafa0523ea2bd7da29da4dbe6eb124","retrofit-adapters/rxjava/src/main/java/retrofit/SingleHelper.java","adapt(Call<Object>)","adapt(Call<R>)"
"6359791fdaeafa0523ea2bd7da29da4dbe6eb124","retrofit/src/main/java/retrofit/CallAdapter.java","adapt(Call<T>)","adapt(Call<R>)"
